Delta,PSNR,Correlation (No Noise),Correlation (With Noise),Similarity (With Noise)
10.0,47.09155182812411,1.0,0.08375650255336457,0.5911404191880724
10.5,46.81729709755143,1.0,0.07032891839005033,0.5934161008259482
11.0,46.54947290543731,1.0,0.0723855494796115,0.5920859772742463
11.5,46.27952040428207,1.0,0.09163193267809619,0.5957994844014465
12.0,46.00659782995148,1.0,0.2089050753294864,0.6463519887505126
12.5,45.74354029865823,1.0,0.21167516694678237,0.643890726328685
13.0,45.4822378716717,1.0,0.25657360595952755,0.6695114888873555
13.5,45.23097407695488,1.0,0.2955964807507736,0.6793515362147583
14.0,44.9859966136945,1.0,0.32043254311742086,0.692670323911198
14.5,44.75081540467478,1.0,0.3816237749721988,0.7188339307016518
15.0,44.52878793212298,1.0,0.4258137277953729,0.7378829833477663
15.5,44.300491992866924,1.0,0.48878331355812604,0.7646367511857818
16.0,44.07067526605336,1.0,0.547515472555206,0.7877236816836676
16.5,43.83763944384078,1.0,0.5643136269368959,0.794790594612183
17.0,43.612116951454965,1.0,0.6214820233610077,0.8218356232909741
17.5,43.389559033501854,1.0,0.6560730023227734,0.8361539268874626
18.0,43.18457300384327,1.0,0.7063283822949654,0.859528328667824
18.5,42.98949709636563,1.0,0.7437898675459904,0.8761113131815979
19.0,42.79004110985004,1.0,0.75778279777662,0.8826693665195365
19.5,42.59456338225202,1.0,0.8027384001138235,0.9036799483621694
20.0,42.40259508097174,1.0,0.8119146964300379,0.9080455858215236
20.5,42.203239498800045,1.0,0.8469384569304642,0.9244152887539485
21.0,42.0150815091919,1.0,0.8678719657606841,0.9345952389488724
21.5,41.83624656563303,1.0,0.8857218329175176,0.9432118679898948
22.0,41.6702304217206,1.0,0.8943174914041265,0.9474008632282458
22.5,41.502283234835915,1.0,0.9067824993688897,0.9534463122861921
23.0,41.33952132608698,1.0,0.9182824298107364,0.959103608580044
23.5,41.17214819867275,1.0,0.9327462388616363,0.9662114483719892
24.0,41.00525396966481,1.0,0.9550511822129852,0.9772947153308298
24.5,40.842073971085384,1.0,0.9554415709408939,0.9774770855080575
25.0,40.68547207454799,1.0,0.9671370326016435,0.9833626741406888
25.5,40.53608483400783,1.0,0.9662995738783559,0.9829474768725123
26.0,40.39448836782266,1.0,0.9719259983687403,0.9857705810584279
26.5,40.26380180397048,1.0,0.9806023490484845,0.9901486535602846
27.0,40.126816537983174,1.0,0.9757911535041734,0.9877195108259738
27.5,39.979389850932264,1.0,0.9824982618920344,0.9911052404978022
28.0,39.81837061732271,1.0,0.9858993472831528,0.9928290165763329
28.5,39.656210876541216,1.0,0.9824861946864465,0.991097800585729
29.0,39.486711562964146,1.0,0.98928522178675,0.9945460785425686
29.5,39.32688647679544,1.0,0.996100024464946,0.9980119264630372
30.0,39.18721395102631,1.0,0.9931790677597134,0.9965253057933176
30.5,39.06383018365728,1.0,0.9946415944796867,0.9972694500355554
31.0,38.95574626949495,1.0,0.9926878348010559,0.9962751634452907
31.5,38.848621558942476,1.0,0.9951231219112696,0.9975144130400745
32.0,38.73981923936593,1.0,0.9970711004946662,0.998506471378787
32.5,38.62189187472969,1.0,0.9985356561119721,0.9992530809364939
33.0,38.49749591506635,1.0,0.9970735380706649,0.9985078330409508
33.5,38.370152250614986,1.0,0.9985356561119723,0.9992530809364939
34.0,38.23359960430998,1.0,1.0,1.0
34.5,38.097006202165296,1.0,0.9990235229412766,0.9995018679641099
35.0,37.97221297804328,1.0,0.9995116374494543,0.9997508409080548
35.5,37.853460086977364,1.0,0.9995116374494543,0.9997508409080548
36.0,37.73961794986344,1.0,0.9990235229412766,0.9995018679641099
36.5,37.62450050195085,1.0,1.0,1.0
37.0,37.50912706680519,1.0,0.9995116374494543,0.9997508409080548
37.5,37.396733863609285,1.0,1.0,1.0
38.0,37.28853508056678,1.0,1.0,1.0
38.5,37.18790256975594,1.0,1.0,1.0
39.0,37.08737020900109,1.0,1.0,1.0
39.5,36.989362117330906,1.0,1.0,1.0
40.0,36.89016913008693,1.0,1.0,1.0
40.5,36.785508034558745,1.0,1.0,1.0
41.0,36.67591335345633,1.0,1.0,1.0
41.5,36.57186176700763,1.0,1.0,1.0
42.0,36.46870799095938,1.0,1.0,1.0
42.5,36.37533282639531,1.0,1.0,1.0
43.0,36.28848198359554,1.0,1.0,1.0
43.5,36.204465084195675,1.0,1.0,1.0
44.0,36.118255486802205,1.0,1.0,1.0
44.5,36.02613765502134,1.0,1.0,1.0
45.0,35.929788996863046,1.0,1.0,1.0
45.5,35.82675490505495,1.0,1.0,1.0
46.0,35.72148297559819,1.0,1.0,1.0
46.5,35.621754576741125,1.0,1.0,1.0
47.0,35.533241154476336,1.0,1.0,1.0
47.5,35.45402782336565,1.0,1.0,1.0
48.0,35.377147296575124,1.0,1.0,1.0
48.5,35.29747794016067,1.0,1.0,1.0
49.0,35.214050643229704,1.0,1.0,1.0
49.5,35.124823164771406,1.0,1.0,1.0
50.0,35.035146471797404,1.0,1.0,1.0
50.5,34.94408868817631,1.0,1.0,1.0
51.0,34.854576816667496,1.0,1.0,1.0
51.5,34.77192741464896,1.0,1.0,1.0
52.0,34.6917040270617,1.0,1.0,1.0
52.5,34.61901564143427,1.0,1.0,1.0
53.0,34.54665568110553,1.0,1.0,1.0
53.5,34.47379399184545,1.0,1.0,1.0
54.0,34.395817762778464,1.0,1.0,1.0
54.5,34.31630844712809,1.0,1.0,1.0
55.0,34.23565224607726,1.0,1.0,1.0
55.5,34.1589593504892,1.0,1.0,1.0
56.0,34.07910841906474,1.0,1.0,1.0
56.5,34.00254556943495,1.0,1.0,1.0
57.0,33.92281785178851,1.0,1.0,1.0
57.5,33.84357662652979,1.0,1.0,1.0
58.0,33.76688093748035,1.0,1.0,1.0
58.5,33.69478881441822,1.0,1.0,1.0
59.0,33.62497267689291,1.0,1.0,1.0
59.5,33.560104178459504,1.0,1.0,1.0
60.0,33.497455664841425,1.0,1.0,1.0
60.5,33.43700431894969,1.0,1.0,1.0
61.0,33.37491272933436,1.0,1.0,1.0
61.5,33.310943242978404,1.0,1.0,1.0
62.0,33.2411089435475,1.0,1.0,1.0
62.5,33.170888488125634,1.0,1.0,1.0
63.0,33.09714998851484,1.0,1.0,1.0
63.5,33.02328496262903,1.0,1.0,1.0
64.0,32.95227797809852,1.0,1.0,1.0
64.5,32.882005630187216,1.0,1.0,1.0
65.0,32.81342101237074,1.0,1.0,1.0
65.5,32.74702092845261,1.0,1.0,1.0
66.0,32.680453119242394,1.0,1.0,1.0
66.5,32.61854838864137,1.0,1.0,1.0
67.0,32.55855321323592,1.0,1.0,1.0
67.5,32.50375377470907,1.0,1.0,1.0
68.0,32.44828311797414,1.0,1.0,1.0
68.5,32.388404429997756,1.0,1.0,1.0
69.0,32.32316232470097,1.0,1.0,1.0
69.5,32.25611795745394,1.0,1.0,1.0
70.0,32.186859219406514,1.0,1.0,1.0
70.5,32.12017024484122,1.0,1.0,1.0
71.0,32.05889835996669,1.0,1.0,1.0
71.5,32.000667278506846,1.0,1.0,1.0
72.0,31.948774001160952,1.0,1.0,1.0
72.5,31.898769872090604,1.0,1.0,1.0
73.0,31.848544029036475,1.0,1.0,1.0
73.5,31.78925725420132,1.0,1.0,1.0
74.0,31.72515103625207,1.0,1.0,1.0
74.5,31.656643176741596,1.0,1.0,1.0
75.0,31.590576293086706,1.0,1.0,1.0
75.5,31.529687646801836,1.0,1.0,1.0
76.0,31.475916683337598,1.0,1.0,1.0
76.5,31.429108077456686,1.0,1.0,1.0
77.0,31.383202171397922,1.0,1.0,1.0
77.5,31.33617085751778,1.0,1.0,1.0
78.0,31.2852993753428,1.0,1.0,1.0
78.5,31.22797600023798,1.0,1.0,1.0
79.0,31.167297322955314,1.0,1.0,1.0
79.5,31.10643171368598,1.0,1.0,1.0
80.0,31.04876552667963,1.0,1.0,1.0
80.5,30.994338786583956,1.0,1.0,1.0
81.0,30.945303737462694,1.0,1.0,1.0
81.5,30.900364475710802,1.0,1.0,1.0
82.0,30.853879049170104,1.0,1.0,1.0
82.5,30.806367801248594,1.0,1.0,1.0
83.0,30.75307180464995,1.0,1.0,1.0
83.5,30.697247386404186,1.0,1.0,1.0
84.0,30.63914561175175,1.0,1.0,1.0
84.5,30.584845004317543,1.0,1.0,1.0
85.0,30.5309880693636,1.0,1.0,1.0
85.5,30.478757940279028,1.0,1.0,1.0
86.0,30.428293333650057,1.0,1.0,1.0
86.5,30.376877578354808,1.0,1.0,1.0
87.0,30.327704998294045,1.0,1.0,1.0
87.5,30.27973504561025,1.0,1.0,1.0
88.0,30.234657199118217,1.0,1.0,1.0
88.5,30.1883413768551,1.0,1.0,1.0
89.0,30.145074108957665,1.0,1.0,1.0
89.5,30.10309975082514,1.0,1.0,1.0
90.0,30.057344960676232,1.0,1.0,1.0
90.5,30.009959419029705,1.0,1.0,1.0
91.0,29.95882213173992,1.0,1.0,1.0
91.5,29.90784694270626,1.0,1.0,1.0
92.0,29.854380347936818,1.0,1.0,1.0
92.5,29.804089268753234,1.0,1.0,1.0
93.0,29.757094481292754,1.0,1.0,1.0
93.5,29.71089167891277,1.0,1.0,1.0
94.0,29.667073030968773,1.0,1.0,1.0
94.5,29.62329679564075,1.0,1.0,1.0
95.0,29.58065967635264,1.0,1.0,1.0
95.5,29.53862310893484,1.0,1.0,1.0
96.0,29.498231383388823,1.0,1.0,1.0
96.5,29.456790742003726,1.0,1.0,1.0
97.0,29.415071937400974,1.0,1.0,1.0
97.5,29.371801592021125,1.0,1.0,1.0
98.0,29.326166479913425,1.0,1.0,1.0
98.5,29.27950174144021,1.0,1.0,1.0
99.0,29.231729204577217,1.0,1.0,1.0
99.5,29.185730926333,1.0,1.0,1.0
100.0,29.14250953436572,1.0,1.0,1.0
